"rating.2.41." "review" "yy_2"
"1" "3.0" "I love this aquarium.  I've been coming here with my family since I was little, and I visited last weekend with my boyfriend.  The price for admission, the dolphin show and the 4D show was $30 each, which is a little pricey, but it's definitely a high quality place.  I particularly love the shark exhibit, but all of the exhibits are great and well set-up.  The flow is really great, too, and you feel like you move logistically throughout the place without missing anything.  I love the dolphin show - the tricks are so cute and it's pretty lengthy, so you feel like you're getting your money's worth.  I also liked the 4D show, which was a part of the planet Earth film, with some special effects thrown in.  I like the planet Earth series a lot, it's just really inspiring to see.  The gift shops have some cute items for sale, especially their stuffed animals.  There's also a cafeteria with the normal food, but I felt like we'd do better eating in one of the Harbor's many restaurants.  It's definitely a great experience, and you will be occupied for at least three hours if you see everything.  I have been numerous times and it never gets old." "10/21/2011"
"2" "4.0" "The last time I went to the Baltimore Aquarium I was just a wee lass and remember it being quite impressive.  We went last night for Fridays After 5, but unfortunately, everyone else went too.  I am giving it 3 stars because it was just too damn crowded in there and it was hard to just relax and see the aquariums.  This is my recommendation - go to Fridays After 5 at 7:55 pm.  It closes at 9:30 but last entry is at 8:00.  It isn't very clear on the website so most people think it closes at 8 and come way earlier.  I think you could be in there pretty much by yourself if you went at 8 pm.  So go have a nice dinner and then head to the Aquarium after!" "9/11/2010"
"3" "5.0" "Here's another place in Baltimore that I never tire of. Our family goes no less than twice of year and my daughter loves the dolphin show. The aquarium has very good special exhibitions and does a good job of teaching about conservation and the environment through interactive displays.  The jellyfish invasion was super cool as was the polar express 4-d film.  It's a bit pricey for a family of four, but If you can go on a Friday after five during certain months, you can get in deeply discounted. As tempting as it might be, avoid $1 days where it gets so crowded that it is not enjoyable." "12/5/2010"
"4" "2.0" "So you want to learn about sea base animals. Or, do you want your kids to go \"Hey NEMO, are you okay???\". Or just take an afternoon and do something different. Well, here is the place to do all of the above. Very nice aquarium that also includes other exhibits such as the rain forest and Australian terrain. And the shark tank is super cool. Be sure to take your time when going, the place is very big and will take some time to see it all. Specially if you want to really see everything and every show." "2/9/2009"
"5" "4.0" "The tickets were super expensive and all of the exhibits were crowded. Everyone we talked to said this was the best aquarium that have been to. It is good, but not as good as Boston's.The fish tank thing that surrounds you is kind of cool, but not worth the $20+ ticket price. Also there were so many inconsiderate mothers who would use there strollers to either mow you down or block the entire exhibit that you only go to see the exhibits from a far because your life was in jeopardy." "12/26/2007"
"6" "2.0" "Just visited the National Aquarium in Baltimore. What a great time we had! Just about every exhibit we went to we were greeted by friendly staff who seemed genuinely enthused about being there and seeing all the kids so overjoyed by the experience. It was really thrilling for our 2 year old and her friend. Though we didn't make it to the dolphin show, we covered pretty much the whole place in about 2 hours (we were taking our time). It was really an awesome day. The food is obviously overpriced, so we opted to eat across the street at Potbelly's, definitely a good call. Lots of people complain about how much it costs to get into the aquarium, but kids under 3 get in for free and I'd say it was worth the $24.95 per adult, no question. I could think of a lot lamer ways to spend 25 bucks! Oh, favorite exhibit of the day, SHARKS, no doubt. The kids were blown away walking down the windy ramp as the sharks zoomed by. Definitely looking forward to heading back to the National Aquarium soon." "1/7/2012"
"7" "1.0" "The National Aquarium in Baltimore:The Baltimore Aquarium is in need of some serious updating. There are only three exhibits worth mentioning: the ray pool, the shark tank, and the jellyfish room.The remaining space is filler - mood lighting, extended moving walkways, and home-sized fish tanks featuring one or two slumbering amphibians apiece - all designed to corral your kiddies into the innumerable gift shops. There are more ocean themed gimcrackeries here than fish: Halloween shark masks, pink plushy seals, snow-globe dolphin picture frames, sparkly logo coffee mugs, and mermaid princess dress-ups. It seems more like a Chinese shopping mall, which happens to have a few decorative tanks of live fish on display, than a world-class aquarium.If your kiddie is an über manta ray or shark fanatic, then the Baltimore Aquarium might be worth a visit; otherwise, I would recommend skipping it.Two Stars.__________________________________________________­_______The Dolphin Show:The dolphin show consisted of five trainers stuffing the faces of a handful of overindulged dolphins with dead fish. There were two jumbotron monitors, both playing a mind-numbingly dull pseudo-environmentalist video between feedings. Throughout the show, the spoiled dolphins ignored their trainer's commands, preferring to paddle around the pool as they pleased, tossing their toys in the air higgledy-piggledy, and, on occasion, slapping their flippers in defiance. One naughty dolphin, which was cordoned off in a holding tank behind the main pool, leapt into the air a few times in a vain plea for attention. The commentator continued to read her mawkish lines in a stupefying monotone - they consisted of such enlightening trivia as, \"dolphins are similar to us because they have teeth.\" A volunteer gamely displayed her own teeth - the dolphin was not so obliging. Three other kiddies from the audience nervously waved a random assortment of international flaps in a spotlighted corner to highlight \"our celebration of dolphins.\" Shifting around our seats like squirmy children, my companion and I continued to wait in anticipation for the dolphin show to begin (synchronized leaps, vigorous flipper splashing, and blowhole squeaks and whistles!); but, that was it, that was the entire program: bratty dolphins being fed too much fish. Zero Stars (well, save for that one naughty dolphin - we liked him)." "1/12/2011"
"8" "4.0" "If I could give this a zero star rating I would. The wait time to get in was over an hour so we went to dicks last resort for an early lunch. We got back to the aquarium 30 minutes before our ticket entrance time and had to stand and wait 15 more minutes just to get in. Where is the value for $30 per person??????? We spent more time walking from exhibit area to exhibit area than looking at the mini exhibits they had. This place is a rip off and you would be better served going to shedd in Chicago or even the Wilmington aquarium in NC. Save your $ -- especially considering the nearest parking garage two blocks away was $24 for over three hours of parking! Rip off!!!" "2/25/2011"
"9" "1.0" "This is a very cool place to visit! It's on the pricey side, so look out for specials like $5 Fridays after 5 (aqua.org/discounts.html). Buy your tickets online, it's a huge timesaver. The 4D movie is worth the extra money I had a blast in there! Skip the dolphin show and rent The Cove for insight into what a cruel practice this is." "11/17/2010"
"10" "4.0" "Awful! Way too crowded. They herd everybody down dark hallways to see animals crammed in tiny living quarters with little stimulation. In most cases, there was 4 people deep at every display.  The written info is so small you can't even read it. Way too expensive!  What a mistake." "4/8/2012"
