"rating.2.41." "review" "yy_2"
"1" "4.0" "I loved the dolphin show! It reminded me of San Diego zoo.This aquarium isn't too big so you can see the whole place in a couple of hours.Tickets can be a little pricey, $30 per adult, and I think it's either $20 or $25 for children.But with parking (which is another $20) it's a pretty pricey visit so make sure you stay and look around and eat in Inner Harbor." "12/30/2012"
"2" "5.0" "We came here as a family for my daughters first birthday and we had a blast! For starters when we got to the ticket booth we found out they were having some sort of special they do like twice a year where everyone is only $12 to get in as opposed to the normal $35 for adults and $22 for children so from the beginning were extremely excited about that. When we got on they take a group picture at the entrance in from of a green screen for you to see later. Also they have a mandatory stroller check which I thought was a great idea to keep the congestion down. There were about four levels of awesome exhibits the reef at the bottom being one of my favorites. You get to see the sharks, sting rays, giant turtle, and some reef fish. Since the tickets were so cheap this day we decided to splurge a little and do the 4D movie polar express. I think that was actually my favorite part of our visit. Along with the 3D glasses, they made is snow, we were able to smell along with the movie, also the vibrations on our seats. It was super cool. My daughter, nephew, and the rest of us adults had a great time. The only reason I didn't give it 5 stars is because I do think the regular pricing is a bit high personally... but definitely worth a visit!" "1/16/2015"
"3" "5.0" "I absolutely love this place! As much as I hate Baltimore, this is the best place along with the Inner Harbor and the World Trade Center next to it. I like the food there. I especially love the 4D movie clip there. The gift shop was nice. I love the top floor as well." "2/24/2015"
"4" "4.0" "Is there anything better than the National Aquarium? I think not! The new Black Coral Reef exhibit alone is the most amazing thing I have ever seen. To think that all the coral was hand-placed there to replicate the natural habitat of the fish and sharks, is unbelievable. And the huge whale skeleton hanging overhead? AMAZING!!! I definitely have to get back and spend a good day there exploring the other exhibits. There's just soooo much to take in and this one exhibit is just the tip of the iceberg. To think that we have a cultural facility like this one here in Baltimore blows the mind. EVERYONE should be taking advantage of the fact that this place is in our own backyard. We are truly fortunate." "10/9/2013"
"5" "4.0" "Had a great time and saw some amazing creatures. They currently have an Australia exhibit, a jellies exhibit and a rainforest exhibit, so you'll see more than just the usual aquarium creatures you'd expect. (Even some monkey-things and puffins, yay!)It's a bit pricey (about $30 a person), but it's a good two hours of touring, even more if you stay for one of the dolphin shows. Get there when they open to avoid the crowds and most of the whiny kids." "4/14/2013"
"6" "2.0" "This is a great aquarium, not complaints at all. I easily spent three hours here looking at their impressive collection of tropical fish, the refreshing rainforest room with birds flying about, and the dolphin show. The aquarium is positioned right on the Inner Harbor so it has breathtaking views with large windows at various points within the structure. What I liked most of all about this aquarium was how easy it was to follow the designed tour path. Everything was very well laid out and even though I didn't pick up a map but preferred to wander about I naturally followed the course of things. The design of the aquarium was fun just in itself. When you first walk in you are greeted by a huge waterfall flowing into a tank of fish..i forget what type- i saw a lot of fish today. As you start getting into the exhibits you are made to feel as if you are descending into a submarine and looking out of windows at fish around you. I thought this was really neat for the kids. As you leave this area you come out into the rainforest section which has tropical humidity, birds flying overhead and plants and water landscaping, the shark tank was also designed well and made you feel as if you were being \"circled\" by a group of intimidating sharks...many with messed up teeth I might add! The animals all seemed to be housed well and appeared to be well taken care of. I didn't see any that appeared to be sick or were far too big for their confined area...except for the octopus..common could we not get that guy a bigger tank? He barely had room to stretch his poor little tentacles. He was the only one i felt bad for, the rest pretty much looked as if they were living in animal planet's version of the MTV show Cribs.While its pricey to visit it is downtown Baltimore so I wasn't too surprised at the price. 30.00 was worth it to me for three hours. I also parked a couple blocks away for 10.00 for the day." "1/19/2013"
"7" "4.0" "Wish I could give more stars to this place. And, by the same token, I wish it was a better aquarium. Daughter is frustrated by the crowds making it hard to see in the tanks. Not a lot for kids to do except look. (Unlike Md. Science Center, which has lots of hands-on stuff.) VERY expensive admission. Separate charge for the dolphin show...which somehow manages to be not very interesting -- how do you manage that with dolphins?Also, not super happy about its stewardship of the National Aquarium in DC. During the Baltimore organization's tenure, it jacked up the price five-fold, cut hours and eventually went out of business. (Blaming it on the building renovation, but it's hard to believe a facility that cared about its DC presence couldn't have found an alternate location. Heck, National Harbor probably would have given them an entire street.)" "7/12/2014"
"8" "4.0" "$35 seemed expensive for an aquarium but it was quite a large aquarium. Definitely got my money's worth here. There's a dolphin show that lasts about 10-15 minutes where the trainers show off the dolphins. There's a 4D show that costs an extra $5. Not worth it. It was only a 10 minute clip. The actual clip is decent but the 4D effects are unnecessary and frankly.. distracting. Watched the Salmon Run which just had a ton of bubbles come up or large chilling gusts of wind." "10/5/2013"
"9" "4.0" "Our daughter loves it there! The membership is so worth it, as we can walk there whenever we want. I wish they expand it a bit though.. and make a bit bigger and diverse... it would've been nice to have penguins.." "3/12/2015"
"10" "4.0" "I enjoyed coming here. We walked around the Inner Harbor and made our way over. I took a lot of great pictures! The different exhibits from different parts of the world added to making it better. I enjoyed the rain forest. My husband loved the sharks!  The thing that disappointed me was, the dolphins venue. It opened at 10:30 and we went in and sat. All the did was give them balls and they swam around. We asked if a show was starting, because we wanted to get something to eat before we headed over to the Lacrosse Championship. They said they didn't know when one would start. So we got up and left. Everything else was cool though" "5/27/2014"
