"rating.2.41." "review" "yy_2"
"5.0" "I have to admit I was a bit disappointed. Don't get me wrong the aquarium is nice but not what I expected. I have taken my kids to the Camden Aquarium a couple times now and choose to drive 2 1/2 hours to Baltimore to show them what I thought was a bigger, better Aquarium. I was wrong. A lot small and not as many fish / animals. Defiantly a place to stop when in Baltimore but I would not travel just to visit." "7/8/2013"
"5.0" "Before we even stepped inside, my husband and I became members - and I'm so glad we did!  We plan to visit and bring friends often!  Plus I'm looking forward to taking advantage of the member event.   I'm typically tough on aquariums because I grew up going to the New England Aquarium in Boston - which is fabulous.  So the fact that I like the National Aquarium in Baltimore so much really speaks volumes.  Plan to go early and take your time.  It does get crowded... but that's because it is a wonderful aquarium and many people want to see all the amazing creatures, critters and animals.  The area is easy to get to and park.  And because you are in Inner Harbor there are plenty of other things to see and do -- make a day of it and enjoy!" "7/7/2012"
"4.0" "Definitely a \"must visit\" if you're in Baltimore.  One of the best aquariums I've ever been to.  Their collection is amazing.  The only complaint I have with it is that they don't do a Dolphin show year round." "2/8/2013"
"5.0" "This aquarium was better than I expected. I really enjoyed all of it. I enjoyed the 4-D movie although way too short for the price. The dolphin show was good, although this isn't SeaWorld. A really fun place to spend the day!" "3/22/2012"
"5.0" "The National Aquarium in Baltimore feels like a second home to me; I've visited it more times than I can count over the last six years and it's been a remarkable experience every time.  From accidentally stumbling across an archer fish feeding in the Australia exhibit to spotting a slot in the trees of the rain forest section or getting mesmorized by the dolphins at play, the Aquarium is fun place to spend a couple of hours with friends and family.  I must admit that I've always managed to avoid the crowds by following their tip to visit on weekdays or on weekends and holidays before 11 a.m. or after 3 p.m.  If you're local, I'd recommend signing up for one of the memberships." "6/5/2013"
"5.0" "Good news! The aquarium is still great.Bad news... you can no longer upload pics to Facebook for free." "10/17/2011"
"3.0" "This is by far the best aquarium ever. The only problem is the school crowds but what do you expect when going to an aquarium. Be prepared for a journey because not everything is properly signed as where to go but hey I like adventures. Also the lighting is pretty dark but makes it kinda spooky. I love this place." "4/20/2013"
"3.0" "While visiting boyfriend's family in York, PA, we were trying to find an activity to do with his two young neices. The original plan was to take the train to Philadelphia, but because it was over 100 degrees that weekend, we ended up driving over to Baltimore instead. Naturally, the best indoor kid activity was the National Aquarium. I had heard so many great things about this aquarium over the years, so I was pretty excited. However, I was disappointed that it did not live up to the hype. At $30 per person, I expected to be blown away. However, many of the tanks were not well kept and the variety of sea life was pretty generic. There were some parts of the aquarium that were much nicer than others and when visiting a place and paying that much money, I'd like to see some uniformity or continuity when it comes to quality. Highlights for me included the shark section which was large, dark, and moody. I also enjoyed their jelly fish section and their cool simulated rain forest. However, everything else was just \"OK\" and the 4-D theater show was a total let down. The show was basically 20 minutes of a Planet Earth episode with the added 4-D surprises like mist and a part where the shark pokes you in the back (which actually hurt a lot). I also got a little depressed watching the dolphins...mostly because I have watched The Cove and these dolphins didn't look too happy. This place is worth a visit if you're with small children and need something to do indoors...however, for a clever date or to explore some great sea creatures, I can't highly recommend it. The Aquarium of the Pacific and the Monterey Bay aquarium have got them beat." "8/2/2011"
"3.0" "My husband and I came here on a Friday afternoon. I had forgot that a lot of schools will take field trips on fridays so it was completely packed with kids. I did like seeing all the sea creatures but way too many kids running around and being unruly." "2/25/2012"
"4.0" "If it was based solely on the staff five stars however the price is high.  New display is very crystal clear but not all of the fish are in the tank yet.  Would have liked a construction-discount.  The dolphin show lasted 18 minutes and was great. They used to charge an extra cost for that. Plan two to three hours.  Keep your standards low for the food.  Clean facility and again very good staff and a lot of them ready to help.  TO: Adam outside and Adele at the customer service thank you!" "7/27/2013"
