"rating.2.41." "review" "yy_2"
"4.0" "Fun aquarium- lots to see but was very crowded when we visited. I love the location. The fish were plentiful and the tanks were very nice. The last aquarium I went to was in Atlanta and this was not on the same level. However I did enjoy this visit." "10/22/2013"
"5.0" "Ahhhh... Maryland winter weather seems to have a sense of humor.  This past Friday, it started off grey outside but with a tolerable temp.  Then it started to rain.  Then it stopped.  Then the clouds began to clear bringing with it gale force winds that kept my hands gripped at 10 and 2.  So what better day to head to the aquarium with the munchkin?  Despite the weird weather, I had been wanting to come here for a while and when I read about the great deal they offer on Fridays it was a no brainer.  It was quite crowded but worth it to save a massive amount on the normal admission prices and we even got to see the dolphin show.  I humored my daughter and we sat in the splash zone.  I think she wished we hadn't done that more than I had.  The aquarium is impressive and I loved the jellyfish exhibit.  Gave me some of the best photos I have ever taken." "2/27/2011"
"3.0" "The National Aquarium is one of my favorite places to take out of town guests because there's so much to see, learn, and explore -- it never gets old. I love to visit with kids to experience the wonder of the animals through their eyes, but even as an adult I find the aquarium enjoyable.One of my favorite experiences at the Aquarium is taking an Immersion Tour. I've taken the shark experience tour, where a guide led my small group behind the scenes to see the food prep areas and the exhibits. I even got to see baby stingrays -- awesome! Next time you're looking for an adventure in Baltimore, make sure the aquarium is on your list." "4/20/2013"
"5.0" "For a \"National\" Aquarium, I think that they really need to step up their game. I look forward to the new Black Tip Reef exhibit, and I hope that they will offer the shark - petting like NJ (Camden) does. Honestly, I didn't find this aquarium very intriguing. None of the exhibits are particularly Awe-inspiring or one of a kind. The dolphins are now an exhibit (No more show) and my kids really love that. They're generally very active and happy looking, I love that we can stand next to the tank and just observe. Also a very important note, they do NOT allow strollers. There is a free stroller check , and a free backpack-carrier thing for toddlers. For a heavy 2 or 3 year old who wants to run amok.. It's back - breaking insanity. For Adults who want to browse, and are interested in Biology , it can be very informative and interesting." "12/2/2012"
"4.0" "As a Chicagoan that's taken his son to the Shedd Aquarium more times than Pamela Anderson has taken nuptials it takes a lot to impress me. I didn't even make it inside four feet before I was awestruck by the three-story Cheasapeake Bay Waterfall habitat. More jaw drops ensued at the new Australian exhibit, which puts you right in the middle of a habitat among high rock cliffs, bats hanging from the ceiling, birds chirping... Plenty of docents to answer your questions, I even heard one leading around some awestruck Aussies- KRIKEY!Next up, or next down the spiraling path is the Rays. Looking down into a pool of about ten different kind of rays with a beautiful sea turtle with one front fin, I kinda freaked out. This part was empty on a rainy Thursday afternoon and my shark phobias kicked in with the trippy underwater soundtrack and \"added\" fish noises. I don't mind music, but adding bumps and gurgles, I could see kids (and fish freakers like me) getting a little spooked. You can also go down a winding path to look beneath the ray and sharks, truly a great positive to the National Aquarium is the unique design.The main aquarium has ped-friendly escalators that guide visitors up through about five stories of traditional aquarium-in-wall displays. Which include short learning facts and \"Seymour Says\" quick bites. Sometimes one sentence written on a Yellow Post-It note stuck right to the face of the aquarium was what got everyone talking!Well worth the money, this is truly a gem to Baltimore's Inner Harbor!" "9/25/2008"
"3.0" "Stunning!  You're gonna pay a decently hefty fee for admission and wait in lines...but it's absolutely worth it!  The exhibits are top notch and offer tons of variety to meet everyone's levels of interest.  If you're taking a few days to visit Inner Harbor, I highly recommend doing this and the Science Center back to back!" "1/5/2011"
"5.0" "My kids love this place! They are both nature and sea animal lovers. We could have stayed all day because the place is pretty large and there's lots of life-sized creatures to see. However, it's not stroller-friendly, and for such a large place, it was quite tiring having to carry my toddler around after the first couple of hours. Better suited to kids who can stand walking around all-day. Admission is a bit expensive to me and you also have to pay to park in the garage." "4/12/2012"
"3.0" "I came here six years ago and remember enjoying my time at the aquarium a whole lot. I was definitely stoked and excited to come back for my weekend in Baltimore. I was with my mom and our close friend and we had a blast. The aquarium is undergoing some changes. They are moving their stingrays to another exhibit from the one that you see when you first enter to one upstairs, I think. Most of their stingrays are being transferred down to the Georgia Aquarium in Atlanta. Also, dolphin shows no longer seem to be entertainment shows but are now more educational. I think that the aquarium is paying attention to some recent ethics issues around whether or not training dolphins to do things that they wouldn't naturally do in the wild is right. Sadly, they've gotten rid of the seahorses so I am sorry if you like those! :( They used to be in a little circular tank on the ground floor which now contains lionfish, an angelfish, and a pufferfish.  The aquarium has an awesome new jellyfish exhibit and really shows off these most fascinating creatures and being the seemingly otherworldly beings that they are. Luckily we got around to this exhibit right before closing! (which turned out to be an hour earlier than they had said on the website..wasn't too happy about that). There were all kinds of beautiful jellies. The dolphins are great fun and super charming. They are so inquisitive and smart. Prepare to get wet if you're sitting in the splash-zone! There is a nice Amazon rainforest exhibit though I never quite understood why aquariums include these. It's an aquarium not a zoo. The sharks are cool though they only have nurse and lemon sharks mainly. See the puffins!! They love to put on a show for you and are so cute! We came on a Monday afternoon and as we figured, the crowds weren't terrible at all and there was no line to buy tickets which was spot-on. We figured we'd come today after changing our minds about Saturday night when the place is open late. I am sure we would have been trampled by kids, couples, and families then. This is a great aquarium and I still enjoyed myself very much even though they seem to be in a bit of a transition. I will need to hit the one in DC next!" "8/28/2012"
"4.0" "In comparison to the Chicago Shedd Aquarium, eh.....I have seen better. They could use some renovations and some fresh ideas for exhibits, but overall it was nice way to spend a weekend afternoon.  This is still an old school aquarium where it's VERY dark and not a lot of interactive displays.  The walkways are not very wide some sometimes the crowds can be a bit much. The Australian exhibit is newer and more to my liking.  Their exhibit design was much more integrated and made it feel like you are actually in the habitat.  I love how it also included the birds flying above and hearing their calls.  That added a whole different experience to the marine/aquatic exhibit.  I did find that even though it was crowded, it was pretty manageable for gimps in wheel chairs.  Once you knew where all the elevators were it was fairly easy to get around.  On the ramps for the big coral reef tank, make sure you a have a buddy helping you down those ramps or else gravity will get the best of you.The 4D movies are always fun.  But they are very short (like 20 min).  That seems to be the same across most aquariums that I have been to.  4D is not fun for those of you that spook easily or have kids that get scared.  Be prepared to get wet!If you are military, check for your base installation for discounted tickets!" "7/17/2011"
"4.0" "The last time I was at the National Aquarium, I was just a wee little one. I had been wanting to go back for some time, so we finally headed up there on a Friday morning. We figured a Friday morning in early September would be ok since the little kiddies are back in school and certainly shouldn't be taking field trip that early in the year. Low and behold, there were some school groups there, but they weren't too much of a nuisance. We got there just after it opened and it took us about 2 and half hours to get through it. I recall it being slightly larger when I was younger though. It was still fun to see our aquatic friends. We even got to see a morning feeding done by the scuba divers.Overall, it's a nice place to go if you haven't been in awhile, but not a place to go on a regular basis. I recall the aquarium in Camden, NJ being larger,  having cheaper admission and more interactive exhibits." "9/30/2010"
