"rating.2.41." "review" "yy_2"
"5.0" "This aquarium is okay, not great. I have been to many, including Monterey Bay, Atlanta, & Shedd in Chicago: Baltimore's got nothing on those three.I normally wouldn't deduct stars for crowds at a zoo/aquarium, because let's be honest: you should expect crowds of screaming knee high kids, kids on field trips, kids in strollers, and tween kids that are bored & more interested in their smart phones and will bump into you. But I have to say, the crowds here were ridiculous. I would HIGHLY highly recommend coming BEFORE 11am or after 3pm, and whenever you come, BUY TICKETS IN ADVANCE! Can't stress this enough. The crowds were pretty awful, and the layout of the place (my next gripe) isn't crowd friendly for viewing exhibits.The layout: not a fan. The whole place is just sort of dark and grim, and I'd much prefer bright, cleanly lit viewing areas. The one highlight is walking around with the Caribbean reef surrounding you; that was legit. Other than that the crisscrossing weirdo escalators, labyrinth of ramps/stairs, etc were very overwhelming. Plus, there are SO MANY PICTURES ON THE WALLS. I'd much prefer to see space occupied by real-life plants + animals, and not a bunch of highly-saturated, so-bright-they-hurt-your-eyes blown up photos.Next complaint: the \"eco-propaganda\". The rainforest exhibit \"destruction ticker\" was so dismal, and provided virtually nothing to viewers besides facts about how much rainforest is being destroyed per minute. Yikes. It was sort of the same throughout the aquarium. Lots of \"Save Our Ocean/Save the Planet\" type things, which I never find very useful. I am an environmental science major with a particular interest in marine biology & conservation, and I tried talking with numerous guides/employees about the aquarium's conservations efforts to no avail. One employee told me that they don't provide straws or lids to the drinks in the cafe as part of their efforts. I was hoping to hear a little bit more about what they're doing in the field, and I think it's reasonable to expect an exhibit staff member to be able to provide some info along those lines. When someone behind me in the cafe asked why the bottled water was so expensive, the cashier said, \"It's going to a good cause.\" I'd sure like to know what cause that is.Cost: it is high. But expect that. You have to keep in mind how much it costs to maintain a place like that, and don't complain about food costs. Everyone should have learned by now to pack a lunch to some place like a zoo/aquarium, and to always sneak snacks into a movie theater. It's just common sense. Yeah, you're going to pay $7 for a tiny, bad sandwich. I can't deduct for that, but expect it. However, with the quality of the aquarium, I would have expected to pay $18-22 TOPS, not $29. I was a bit put off by that. Included a dolphin show that only goes twice a day, so I didn't see it.The animals: I've seen better, but they do have some cool animals. The sand-tiger sharks are awesome, the rays are great, and there's a nice variety of species. I guess my biggest complaint about this place is that everything is just dark & dated, and the employees don't seem too interested in marine conservation or the mission of the place itself. I would never come close to rating this as the \"Best in the Nation\" and would expect more from our National Aquarium. I'm glad I went because I love staring at fish for hours, but if it hadn't been for my appreciation of the animals, I would have been disappointed.Bottom Line: take your kids, they'll like it. If you're an adult visiting by yourself, bring some head phones & an iPod to drown out screaming children, people calling rays flounders, children counting how many Nemos & Dorys are in that one exhibit, etc. It's more enjoyable to your own soundtrack." "8/7/2012"
"3.0" "This is such an AMAZING place.   LOVED LOVED LOVED.  File this one as a cool first-date spot. The Aquarium's design is really neat as you feel like walking through a massive, vertically positioned fish tank. So even in summer's heat, you are enjoying the site in air-conditioned comfort; this isn't always the standard, ie. Miami.   There are various levels, with exhibits in each floor ranging from stingray's to sharks to toads and other critters.  There is a Rainforest area with lots of plants to admire for city dwellers.We paid $29 bucks for admission to 3 exhibits: aquarium, a 25-min dolphin show (housed in another tank connected to main building) and 25-min 4D screening. To avoid the crowds, buy your tickets in advance with late afternoon admission (our queu was @ 3:30).  We killed time having lunch at nearby McCormick & Schmicks. We felt a bit rushed in between the exhibits/shows, but even so we had ample time to take pics in front of the great whites.  If I had to do it again, I'd skip the 4D show to spend more time in the aquarium. It was a busy summer day and there were LOTS of kids and many cranky parents (strollers must be checked in upon entrance) ...but as the day winded down (4sh), the crowds dropped dramatically. By 5 pm, we walked leisurely without worry." "9/18/2008"
"4.0" "I went this past Mother's Day weekend with my husband and son, and we enjoyed watching our little boy look around in fascination.The good: great for kids, lots of things for them to look at, the exhibits are nice, depending when you go you can catch some tanks for feeding time, they have a sea turtle (\"Calypso\" I believe they call it-- missing front flipper)The bad: Parents with younger kids- you aren't able to bring your strollers in. You have to check it before you are able to continue through the Aquarium. I found this to be pretty annoying since my son isn't able to walk yet. (they will lend you a \"back pack\" for your child.), More importantly: The dolphins, sharks, other sea life... it is quite unfair to have them all in captivity. I understand that there will always be aquariums, zoo's, etc, but the impact it has on the animals long term is pretty horrible." "5/11/2011"
"3.0" "I finally got to come here.  I purchased tickets online which I redeemed at the Will Call windows and avoided the long lines.  This is a really nice aquarium and is built upwards due to limited space.  It was quite busy when we arrived and they try to  limit the crowd by assigning tickets with different entrance times.Strollers aren't allowed in this aquarium because of the crowds and sometimes narrow passageways.I really enjoyed the giant sea turtle in the stingray pool, it only had 3 fins cuz he lost one.  The shark pool is also pretty cool too.  I would come again if I have the time.  Be prepared to spend at least 3.5 - 4 hours here because of the crowds, everything moves real slow." "7/27/2009"
"2.0" "Very nice aquarium but way too crowded.  Had to fight insane crowds to see anything.  They should restrict how many people can be in the aquarium at once much more than they do.  This aquarium is very old school and dark, with only the Australian exhibit being more open and modern.  The penguin exhibit is also very small and it bothered me that they had such a small space." "7/17/2011"
"3.0" "My bad review is based on the prices going up so much, the rude employees and the crazy entrance time schedule this Aquarium keeps.  I tried to go on a nice Saturday afternoon around 2pm...BAD IDEA! I haven't been to this Aquarium in about 5 years and I was shocked when I saw how much the ticket prices had gone up.  Admission used to be $18-20 which included access to everything (Aquarium,Dolphin show, 4D theatre).  I was pretty shocked to see that it is now $29 to and that they are charging 5$ extra to see the dolphin show.   There was chaos at the ticket booth line with people just standing around confused on which line to get in because the Aquarium employees were shouting that the aquarium's next entrance time was not available until 5pm. The Aquarium closes at 6 which means I would have had to pay $30 to rush through the museum and see the dolphin show.  Oh but wait after I stood in line to purchase tickets I was informed that the dolphin show was sold out.   The employees were very rude and did not seem happy about having to answer questions about entrance times or anything else for that matter.  ******HINT: Buy tickets online a few days before so you not only are guaranteed a ticket into the aquarium but so you can also get the time you want*****I will be back at some point because whats IN the aquarium is pretty cool and definitely worth seeing if you are in town. The aquarium ticket office needs to brush up on their customer service and people skills or you are going to have people get out of line like I did.  But take my advice to buy tickets ahead of time online , and/or look for coupons or promotions for discounted tickets." "4/9/2012"
"4.0" "I visited the National Aquarium on a Sunday afternoon. The place was crowded. Really crowded. Tons of little people that are only knee-high yelling and screaming and crying. Birth control at its finest. However, in light of that, the Aquarium is a really fun place to kill a few hours. The exhibits were great. My favorite part was the Rainforest.  Admission was $25 no student discount.My recommendation to the Aquarium- there should be an adult only time where drinks are served!" "2/26/2012"
"5.0" "Nice... Ive seen better." "8/26/2012"
"4.0" "I couldn't ask for more when visiting an aquarium.  The place is huge and has a wide array of exhibits featuring a dizzying number of animals from all over the world.I highly recommend a visit to this aquarium when in Baltimore; it's up there with Boston as one of the best." "1/31/2011"
"4.0" "Ordered tickets online around midnight the night before (use their website and not Ticketmaster to avoid the convenience fee) for general admission plus the dolphin show.  You can conveniently use the credit card you order with to print your tickets at an automated machine (reminiscent of an ATM) behind the ticket purchase counter next to will call.There are several parking decks in the area but we preferred the deck on the right one block past the aquarium.  Once you park go directly across the street for a nice treat at Miss Shirley's before you begin your Aquarium adventure!Our tickets were for 11am but we were allowed to enter at 10:30.  The dolphin show began at 11:30 and was very interesting.  The show was informative and entertaining focusing on conservation and the similarities between dolphins and humans.We spent the next 3 hours exploring the various areas of the aquarium.  The jellyfish exhibit was awesome.  I never realized there were so many different types of jellyfish.I found all of the exhibits to be interesting but agree with other reviews that some of the tanks seemed much smaller and more cramped than they should be.  The electric eel and octopus seemed to have barely enough space to move around.Recommend for an entertaining and informative afternoon (both solo or with the family)." "8/2/2010"
