"rating.2.41." "review" "yy_2"
"1" "3.0" "The inner harbor is nice. There are plenty of shops and restaurants as well as a couple of shopping plazas. It is not a breathtaking view but it is a nice walk. The biggest attraction within the Inner Harbor is the National Aquarium. As a child, I remembered loving the aquarium. However, it does not hold up as well now that I am an adult. It is great for children because they have a lot of fish. However, it all starts looking the same once you have seen a few exhibits. The aquarium does have a good amount of sharks which you can get an up close look at through the glass of the tanks. The biggest attraction within the aquarium is the dolphins. If you go to the dolphin pools at the scheduled trainings, there are shows where the dolphins will do tricks such as flips and splashing the audience. It is definitely the best part of my visit.However, it is not cheap admission as it is $34.95 for an adult and $21.95 for children. It is also an additional $5 per person if you want to see a 4D movie. One of the movies is Happy Feet. I tried to buy tickets for the aquarium on Saturday around 1 PM. However, tickets were sold out till 5 PM so I went back on Sunday. As the aquarium is popular, you have to make sure you get there as soon as possible to buy tickets.If you are visiting Baltimore for work or vacation, please see my guide for the city: rookerville.com/2013/08/…" "11/7/2014"
"2" "4.0" "I'm a little disappointed. Thought it would be better.  You can do the tour in the whole aquarium in like 2/ 3 hours. Also it seems that they don't have a dolphin show. The forest like section it is prettt cool though. Camden Aquarium in New Jersey is much better and cheaper and you can pet the penguins, sharks, sting rays, etc." "3/13/2015"
"3" "5.0" "This was fun--tickets are certainly not cheap and I also really wanted to see otters or seals or sea lions and they are really limited to mostly fish and some sharks and jelly fish. But what they did have was cool and very well presented--worth the money.  The staff is also quite knowledgable, and it's a an area of Baltimore that, albeit touristy and pricey, can also be fun to walk around in." "11/13/2014"
"4" "4.0" "pretty neat aquarium.  actually I loved it.  it's different from others I've been to.  the newly opened touch tide pool is a huge plus as that's what I look forward to in any aquarium.  the shark exhibit was pretty awesome and huge.  I liked the different levels and everything was practically indoors so it's available in every season." "6/10/2015"
"5" "3.0" "I've been to the Aquarium four or five times in the past four years of being in Baltimore. It's always a good time! I've never actually paid full-price for the ticket because that seems a bit too pricey. The Fridays after 5 deal is fantastic and the crowds really aren't that bad! I think they raised the price for $8 to $12 but that's still a steal!There's a great variety of exhibits from local to tropical, it's always fun to walk around and check everything out. The new Black Coral Reef exhibit was pretty cool and really beautiful although I thought it would be bigger. Oddly enough, I also love going into the non-water exhibits like the rain forest and the Australia one which I hadn't seen until my most recent visit. Someday I'll have to go to the dolphin show because that looks so cool!The Aquarium is definitely a Bmore site not to be missed!" "3/24/2014"
"6" "4.0" "First time visiting the National Aquarium. It's a decent place with a few floors (can't remember exactly how many), with tons of sharks! It's a great place for family and it can be a great 1-2 hours activity. There is no more dolphin show, which is replaced by the dolphin exhibit, to stop housing these animals in captivity according to their CEO. The ticket price is pretty high. If you want to save some money, it's much cheaper to make the visit in Friday evening, which cost only $12 rather than $35. There are some street parking in that area, or you can park at the garage for higher cost." "1/10/2015"
"7" "5.0" "I haven't been here since I was a kid but even as an adult it's still mesmerizing. I was a tad disappointed seeing as I was looking forward to penguins and otters-but I think I was getting my venues mixed up. They do have dolphins which is neat.The new shark exhibit is awesome. It also showcases a lot of animals indigenous to the MD area, and then other exhibits show Australia, Amazon, and the Pacific Reefs. There are plenty of animals and fish to keep anybody occupied.I would skip the \"4D immersion film\" if we went again-It was short and not amazing. It was an extra $5, so nothing insane, but I was expecting a little more than a short 3D movie where they randomly spray you with water and have bubbles and vibrating chairs. I didn't know they validate parking if you park in a particular garage-we went to the Science Center across the Harbor earlier-but it would have been nice to know ahead of time to save the $18 in parking fees. There's a large gift shop, really nice deluxe cafe and coat check as well. I believe they also do overnight/immersion trips for those looking for a more in depth experience. General adult admission isn't cheap-$35, but I also believe a good portion of funds goes to conservation effort.I love coming to any zoo/aquarium-even as an adult-but the amount of kids that were amazed by the tropical fish makes the trip worth it :D" "5/9/2014"
"8" "4.0" "While visiting Baltimore we decided to visit this aquarium. Although it was very pricey, we really enjoyed it! There was a lot to see and the layout was unique. My kids loved every part of it. The sharks and the dolphin show were the top hits. They have a fun rainforest section to walk through and a cool jellyfish area. I love the location of it. It is in the Inner Harbor area of Baltimore. It is within walking distance of some great hotels, shops, and restaurants. Love this area! They offer 4D movies, but we ran out of time. Plan to spend a few hours there if you want to experience it all." "9/11/2014"
"9" "4.0" "Fantastic place to take your family and see the sea life. They have vast of different sea creatures, fish and dolphin!!!  Clean and well layout so you won't miss anything. The Australia side isn't much though and they do not allow stroller. So you better have a backpack baby carrier if your kid can't walk or run around." "6/10/2015"
"10" "4.0" "This is a fun aquarium, and well organized, especially for large groups. (Chaperoning a large group of kids, it was easy to make meeting locations  at the end of each section. Also, for the most part, you follow one designated path through the whole aquarium.) Watching the dolphins and their trainers was entertaining and educational. I also really liked the jellyfish exhibit." "6/1/2014"
"11" "4.0" "We love to visit the aquarium! We ended up buying a season pass because it is $130 for a couple, which works out to be less than the cost of two visits for two people. The pros: The dolphins! The black tip reef tankThe rest of the exhibits Reasonably priced food($9 for a cheeseburger and fries, $7 for a panini with fries)4D movieClose location to the harbor- leave and come back! The cons: Parking, but it is a problem for everything in the inner harbor- my suggestion go early and find street parking or look for the $13 lot. It is always crowded on weekends  I do have a couple tips before I end the review. Arrive early in the day because you can exit(get your hand stamped) and return. Bring a reusable water bottle- they have stations to fill them near the bathrooms. Throw a few small things of crackers in the bottom of your bag in case you get hangry. The gift shops sell snacks too and you can often get $2 snacks on the clearance rack. Enjoy your visit!" "9/28/2014"
"12" "4.0" "Went on a family trip- 5 adults.  A bit expensive but we all had a great time." "11/21/2014"
"13" "5.0" "Crowded for sure, but a good time. Buy tickets online for your preferred time slot or be prepared to wait on line." "4/8/2015"
