"rating.2.41." "review" "yy_2"
"4.0" "Not the best aquarium I've ever been to but still very, very nice.The amazon section and three finned turtle are probably my favorite areas.  The Jellies exhibit was fun but about half the size of the one at the Chicago aquarium.  They have a great deal where you can get a season pass as well as guest passes (which we partook in) so we will definitely be going again soon.We went on memorial day and it was crowded but not obscenely so.  In the reptile area we ended up skipping the tank because of the large crowds around them.Fun place, get the annual pass and just swing by for a few hours if you're a local (this also lets you skip the lines)." "6/6/2012"
"1.0" "This place rocks! But get there early before its too crowded. The exhibits are very nicely done. The staff were very friendly and knowledgeable. Shark tank was truly a sight to behold. To see great whites that close was amazing." "7/21/2014"
"5.0" "too expensive!!! 150.00 for a family of 4..." "8/27/2014"
"4.0" "Always a great place to take your family.  Young and old really enjoy the wide variety of animal life." "4/3/2014"
"4.0" "Ok, so here's the story- I went down to Baltimore for the weekend of my birthday. I've never been there and Baltimore is around three and a half hours from me give or take. Anyways, I get down there Saturday morning, walk around a bit to a few other attractions then take a break to check into my hotel and drop off my bag. I then head down towards the Inner Harbor. Based on a suggestion made by a gentleman I spoke with at the visitor's center and my aunt, I decide to visit the aquarium.Admission is kinda pricey but inside, the aquarium is set in a really good layout. In the late afternoon when I went, there were lots of children watching the different fishes. There's a huge variety of fish inside and the setup is great. I especially liked the sharks and there's this huge tank full of sharks inside. Didn't really check out the gift shop or food here but I'm sure it's not cheap. It's really great for kids and kids at heart like me. Other than the hurting the admission put on my wallet, I can't complain. If you happen to be taking a cruise on the waterfront at night or across the harbor in Federal Hill, you can see the aquarium light up at night. Definitely recommend it for anyone who's going to Baltimore, especially those with kids." "3/10/2013"
"3.0" "Awesome place! But they do not allow strollers for kids so bring a carrier if you have infants, or you can use one of theirs. Try to go at off hours. I miss the dolphin shows which they no longer have." "9/24/2014"
"3.0" "I also visited here and the mall on the same school trip. There was an interesting, slightly cheesy  dolphin show that was alright, but, I don't remember anything incredibly notable. Maybe if I had been able to see the entire place that'd change." "4/23/2012"
"5.0" "Don't use their partner garage!!!  With the discount it's almost double the price if the garage 1 block over.  It's unbelievably crowded.  I'd go 2:45 or later to get some relief.  I love aquariums and heard this was a great one.  Really mediocre and pretty expensive for what it is.  It is a great way to spend the day if it's raining though." "6/3/2013"
"3.0" "Great place. I loved the Black Reef and the Shark tank. It was a lot of fun and though it is expensive I thought it was worth the money. There is a lot to do here and the place is huge!!!" "12/1/2013"
"5.0" "If you are staying in Baltimore and have never been, then you should go check it out. Be warned - it is very tourist trap-y. Not the best aquarium I have ever been, and certainly not for the prices that they charge. The Camden Aquarium has much more to offer at a much better price. The one exhibit that somewhat justifies the admission fee is the dolphin training session. My wife and I went here on our honeymoon this past weekend and caught the trainers demonstrating the tricks that they had taught the dolphins, which was very cute. It is definitely a good place for families, so if you have kids and want to keep them occupied for an afternoon, this is a good place to go." "4/15/2013"
