"rating.2.41." "review" "yy_2"
"4.0" "They have a pretty cool shark exhibit and I liked that we were able to leave the Aquarium (to eat lunch) and re-enter thereafter. The aquarium is also a lot bigger than we anticipated - it'll take a few hours to get through... AND the dolphin show is free! It's worth a visit (and one of the main reasons to visit Baltimore)." "1/29/2010"
"5.0" "Phenominal aquarium. The only reason it is a 4 star is the fact that i bought my tickets at 1:30 and couldn't get into the aquarium until 4:30. Otherwise it was laid out extremly well and had a lot of beautiful exhibits. I have been to aquariums in Monterey, Long Beach, and Chicago and this was better than all of them. A lil pricey, but worth it." "7/18/2012"
"5.0" "Chaperoned a 4th grade class field trip.  The staff was amazing!  Our first stop was a 45 minute class, in a classroom.  The instructor was funny, the kids were engaged and not bored for one second.  They also got to go from station to station, allowed to \"one finger touch\" the live  animals.  How cool is it that they got to touch a sea urchin, horseshoe crab, welk?After our class session, we were free to explore the aquarium from the bottom (sharks) to the top (rainforest).  Monkeys, tarantulas, a sloth, birds, sharks, eels, poison dart frogs, incredibly funny and friendly dolphins, the jelly fish invasion... the list goes on.   It was a wonderful day, in a beautiful building filled with friendly staff and amazing animals." "2/25/2011"
"2.0" "I had no plans to go here at all.   However, a bunch of folks from our convention said they were going here after class so I decided to join in.What a good time.  It was quite interesting.  We only had about an hour to check it out which really is not enough time, however, we just kept up a good pace and checked out most things.The design of the aquarium was really beautiful.  It appears that they take wonderful care of the exhibits and animals.I really enjoyed myself.  I would recommend this to all tourists in the Baltimore area." "3/1/2008"
"4.0" "Guess I'm in the minority here, not rating the aquarium four or five stars, but I really didn't think it was worth the cost. I did really enjoy the dolphin show-get there 30 minutes before the show to get good seats. The set up is terrible-who designed this?? The lay out is a maze and does not help the crowd problem. I find it disappointing this is Maryland's big attraction." "5/10/2010"
"4.0" "Not bad aquarium for their size.Check on Friday after 5pm $5!" "2/1/2011"
"5.0" "This was a great place to visit on our day trip to Baltimore from the DC area. The aquarium is located in the Inner Harbor, which seems like a pretty popular place four tourists and appears to be much more tourist-friendly and safer than other parts of the city.Admission was a bit on the pricey side, but the place had a really neat layout and some fish I'm pretty sure I haven't seen before despite frequent trips to other aquariums. This place wasn't as good as the Monterey Bay Aquarium, but it was better than the Birch Aquarium in San Diego that I grew up with. I didn't buy anything at the gift shop here, but it was pretty big and had plenty of stuff that was cool but a waste of money.Good place to take your family, but I feel like anyone could have a good time here." "11/9/2010"
"3.0" "4.5 stars... The National Aquarium in Baltimore (opened in 1981) is the largest tourist attraction in Maryland attracting about 1.6 million people annually. They've got about 16,500 animals (650 different species). The aquarium is located in the very beautiful, clean, and touristy Inner Harbor area of Baltimore. Admission is about $25 for just the aquarium and about $28 if you'd like to also go to the Dolphin show (well worth the extra $3). The main attractions of the aquarium are the stingrays, sharks, dolphins (you can only see them if you go to the dolphin show), and rain forest exhibit (complete with crocodiles). They also have an amazing jellyfish exhibit which might not be a permanent exhibit so if you haven't been I'd check it out. The aquarium may look a bit modest in size from the outside but it's actually pretty huge, beautiful, and clean (Coastal Living Magazine named it the #1 aquarium in the U.S. in 2006). It can get a bit busy but they limit the amount of people they let in each hour so it doesn't get out of hand which is a fantastic idea, especially in the summer. I had a great time at the aquarium. I haven't been to many aquariums so me saying it's the best one I've been to doesn't mean too much but I definitely think its worth the steep admission price." "4/8/2010"
"2.0" "A bit pricy ($30/person w/o the Dolphin show or the \"4-D\" movie, both of which are extra), but a fun experience. It's nice to support this type of initiative and the exhibits are very well thought out.We spent about 90 minutes and I would expect it to be difficult for an adult to spend much more than that here. As far as being a centerpiece in the Inner Harbor district, we enjoyed it!" "4/7/2011"
"5.0" "I don't get the rave reviews here..... We spent the weekend in Baltimore with our two kids (10/6) and hit this place when it opened at 10AM on a Monday.The \"Meh's\":1. The displays are nothing more than any other \"ok\" aquarium.  Big tanks with rays/sharks-Yep, that's what you pay to see.2. The route through it was so disorganized (no flow) they actually had staff in a number of places to tell you to turn around.  I know there was some construction going on but it appeared this wasn't the reason for the staff being in certain places.3. Expensive food and gift shop.  I don't mind buying a $15 octopus, but at least make it big enough to cover my hand.4. The younger staff in the shops and support folks (cleaning/maint) were about as friendly as a guppy.  Not even a smile when I said hello.5. Dolphin show.  I didn't expect Shamu's Seaworld fireworks, but \"lame\" is the best word I can think of to describe it.     a. The announcer said her lines like a robot and seemed to have little interest in the crowd.    b. The dolphins did a total of six jumps, which, lets be honest, is what we all paid to see.  It makes the kids scream and grown-ups clap.  They had the little globes over the pool but only used them once and that was the only time a dolphin actually jumped \"high\".    c.  Three times, we were directed to watch the Dolphin swim around the tank to show off it's power.The \"Good's\"1. The older staff was VERY nice and helpful.  An older gent gave us some tips on how best to see things.2. The place was clean.Bottom Line:If you are in Baltimore and need a place to go with the kids, by all means go here.  But, if you live north of Baltimore, go to Camden.  If you live in DC, sadly, this is way better than the National Aquarium Downtown." "1/25/2012"
