"rating.2.41." "review" "yy_2"
"2.0" "Came here last night with my family and got the 6:30pm entry time.  It's half off admission for everyone on Fridays after 5 which is awesome!went into the will call line because I wasn't able to print my tickets at home and I wasn't getting any signal on my phone to pull up the tickets through my email confirmation.  I told the guy and he said did you get the confirmation email with an attitude problem.. I said yes but there is no signal here so it's not loading!  Then he proceeded to tell me that it'll take a couple minutes to print out the tickets for me.. I said that's fine..  Went inside; got our picture taken - didn't get to see what our picture looked like because the line was so long and we didn't feel like waiting..  Went to the cafe and got a whole fresh pepperoni pizza which came with 4 drinks and 4 cookies for only $24.99(what a deal!) My kids really enjoyed their time here and we rushed to get to the dolphin show because the sign said their last showing was 8:30pm so we got there at 8 and just sat there and waited until we finally asked the worker and she said that they're done for the night since the dolphins are resting now... What a bummer." "8/22/2015"
"4.0" "I went on a Friday after 5 pm and received the half of price of 19$. I'm glad I didn't pay the full price. I understand the price is necessary to pay for the insane upkeep of the tanks, but as a visitor I got little value.  It was super crowded and so it was hard to even see the tanks or enjoy them. They need to put an occupancy cap or something, because I heard other people complaining about the crowd too. The amazon exhibit is laughable.  Just a bunch of trees. There is apparently some monkeys and birds, but I only saw one bird.  We walked the entire Aquarium and after we got to the last part, we were like, \"Is that it? DId we miss an exhibit?\"We saw the last 5 minutes of the Dolphin show, which I liked." "8/22/2015"
"5.0" "Stopped by to take our 2 year old toddler to check out the place.  He loves fish so we thought maybe he would love this place.  Been here once before, years ago, and I thought I remember it being pretty cool.So when you first buy tickets ($40/person...wow!!  Didn't realize how expensive this place was...good thing our kid was under 2 and free) they give you an entrance time.  I guess they want to space out the number of people in the place.  That's a good idea.  Except most of these people stay in the aquarium for hours on end, so there are still a ton of people inside.  It's set up pretty organized.  Good flow to the place.  But there are so many people staring into each aquarium that it took a while before you can squeeze in to take a look.  Especially difficult with a toddler who is anxious and fidgety to get in to see whats going on.  For the most part it was worth it, to see all the different animals and fish.  It was annoying when you wait a while, finally squeeze in to see the exhibit, and there's like 1 little frog, hiding under a leaf barely visible.  Lol.  Checked out the dolphin show.  Got there 30 minutes early and it was already filling up.  Pretty packed at showtime.  The show itself was a little disappointing though.  Very short.  I was expecting more tricks from the dolphins like jumping through hoops or something.  Toddler got antsy waiting around for so long that by the time the show started, he wasn't all that interested.  Plus, the whole aquarium being so dark in general made our kid tired.  Like it was nap time or something.All-in-all a great place, especially for kids, but for older kids.  Lots to see." "8/4/2015"
"4.0" "The best aqaurium I have ever been to. So took a trip here with my buddy and his family. Located in the inner harbour there is a lot to around this area. The location is great and just fun atmosphere.So on to the aqaurium it self. This thing is huge. It looks big on the outside, it's even bigger on the outside.There birds here too,  sharks, well hey its an aqaurium lol so all the aquatic life you can think of. They have dolphin shows, divers that go in with the sea turtles. I didnt see any go into the shark tank though :),which is good  . One of those 4d movies (was a blast). You get great views of the harbour. You could easily spend the whole day here. I was shocked this aqaurium seemed to have even more to see than the boston aqaurium.My favorite part of the aqaurium had to be the shark walk. You basically start at one level and walk your way around lower and lower. At each level you see different aquatic life it's set so the sharks and other fish are in their true as can be depth. The lower you go the darker it gets, and the more sharks you see.My pictures and videos dont do the aqaurium justice, definitely something you should experience for yourselves. That being said enjoy the pics and vids :)" "7/22/2015"
"4.0" "Need a place to get away from the day-to-day stressors of the world? Visit the National Aquarium and enter into the \"strange and wondrous world of water\". It's a family friendly, interactive educational experience. I always learn something random and exciting each time I visit. Although I tend to spend a lot of time in the colorful Blacktip Reef, Shark Alley, and Dolphin Discovery.   Did you know?-Two thirds of a shark's brain is dedicated to smell and they can live up to a month without eating-The first sand tiger shark pup to hatch in the womb will eat the other developing embryos-Female lobsters squirt their urine into a prospective male's den. That scent acts like a love potion which seduces the normally unfriendly male.This is a world class aquarium! I love this place. +: Embrace the Aquarium's entry scheduling system, it helps minimize overcrowding.++: People with special needs are welcome. Take advantage of express and early entry." "6/29/2015"
"5.0" "Lot and lot of fishyyyyy. I love how they design their coral reef tank. You're able to view from above, eye level and even beneath the tank. Kids will go crazy for this as there are multi level layers that goes around the aquarium." "9/18/2015"
"5.0" "This is a great aquarium to check out, located in the heart of the Inner Harbor.Many exhibits to visit and so much to learn and see.They are insanely pricey, but it's worth it if you are an animal lover.My favorite was the rainforest..hot, humid..loved it.." "5/28/2015"
"3.0" "This aquarium was beautiful! At first, my friends and I only visited the rain forest, dolphins, and jelly fish and we were like...that's it?! We don't need 3 hours in here. Well, we were wrong. We then proceeded to the main attraction. AMAZING! They have those flat escalators going at 30 degrees incline so you can see the tanks and the top of the tanks. There were tons of varieties of animals, particularly the fish and reptiles. It was very fascinating to see all the oddities and colors of animals that exist out there. I found Nemo!We stumbled on the dolphin show and it was fascinating. There were no long lineslike at Georgia Aquarium and there were plenty of seating. The dolphins were super cute and talented! Beware, you might get splashed.The jelly fish were fun to touch! You can only touch the top of them, but it's an interesting squishy feeling. They have sinks nearby to wash up afterwards, too.Definitely go to the rain forest first if you go towards the night because this aquarium runs on natural lighting so you can't see much if you're there too late. We only found a bird or two and a toad." "6/9/2015"
"5.0" "The National Aquarium in Baltimore's Inner Harbor is a fun place to visit, but it has lost some of its luster and is overpriced.Admission is now just a few cents shy of $40. Your AAA discount gets you $2 savings, but only if you buy tickets in advance from a AAA shop. $40 is a lot for an aquarium, especially when admission in 2011 was $25. Plus, you're on the hook for downtown parking which can be pricey.At $40 a ticket, I no longer feel that the facility can justify the cost. The entire aquarium feels dark and dated; parts are an 80s time warp. There hasn't been a major exhibit addition in years, and many of the placards are outdated (i.e. citing stats from the 90s). The dolphin show was canceled a few years back, no doubt due to pressure from the Blackfish crowd, and while there's still a keeper chat, this means that there's one less thing to do. Even on a busy Sunday, you can get through the entire aquarium in 60-80 minutes. That's a pricey hour.There are some really fun things to see here, like the shark tank and the puffins, but overall, I'd say that the admission value is relatively weak. Still, it's a good place to visit in Baltimore, but unless they add some new exhibits, I'd say that one visit per decade is sufficient." "7/12/2015"
"4.0" "I am absolutely fascinated by ocean life and marine biology. I usually visit the aquarium whenever I am in a different city. Baltimore's National Aquarium is, by far, the most impressive aquarium I've ever seen.  There are eight floors of exhibits! You could honestly spend a full day watching the animals. There is so much to see. I absolutely love the jellyfish exhibit. I didn't even know there were that many different types of jellyfish. They also had a very interesting section of colorful, tropical frogs. My favorite animal in the aquarium is the three-legged sea turtle. She is enormous. She is a rescue. The employees are very knowledgeable about the animals at the aquarium. They are happy to field questions. The habitats they have created for these creatures are absolutely beautiful. All habitants of the aquarium seem to be content and well taken care of." "5/4/2015"
