"rating.2.41." "review" "yy_2"
"3.0" "First of all my friend took me here so I wasn't excited. I don't think any living animal or fish should be confined for humans entertainment. But I went as a compromise and expected it would be a nice place. Soooo if you like paying $17 to park (that's if you get your ticket validated) and $40 to walk around in a place so packed that you can't see anything and so hot that your body pours sweat then go. You can feel just as miserable as all the ocean life trapped there." "9/9/2015"
"3.0" "The National Aquarium is definitely a great thing to see if you're visiting Baltimore with children and it's great for a rainy day, but it's definitely not the best aquarium I've ever been to and it's very expensive, even at the discounted \"Friday late night\" price. The new black tip reef shark exhibit is really great and it's clear a lot of time and energy went into creating it. That is definitely worth spending a large amount of time exploring while there. However, the remaining exhibits weren't really anything special. I really found myself consistently hoping for more detailed information on some of the fish and it would have been great if they could utilize technology more frequently throughout the exhibit through touch screens or QR codes.If you do decide to explore the aquarium, I HIGHLY recommend talking to the employees walking through the exhibits. Each employee we talked to was enthusiastic, knowledgable, and very nice. They really added to the exhibits and are definitely the aquariums best resource." "11/26/2014"
"5.0" "I'll say this. Based on the smile my 10 month old had on his face the whole time because he loves seeing big fishies, it was worth it. But for me personally, the whole experience was only fun for 45 minutes. I don't think the amount of entertainment I got from here was worth $70 in tickets on a Tuesday afternoon. But you're paying for the location, the upkeep of the place, and I get that. It's just not my bag. I had more fun watching my son than the exhibits. Also, I understand why the place makes you check your stroller at the front. It's not stroller friendly. But that doesn't help the experience. Next time I'll go to the zoo. It's cheaper and they have fish there too. Plus they allow strollers." "9/9/2014"
"4.0" "We had an amazing day here at the Aquarium. It wasn't too crowded and we got to spend as much time as we wanted at each exhibit. There was so much to see it was well worth the money. We arrive at 130pm and didn't leave until 5pm, and only because the little ones were worn out and we were worn out from carrying them lol. I only thing that could make it better is if they had a area were we could pet or touch the sea life....I would just love it. This aquarium was awesome and we will be returning. Maybe this time on Friday night." "12/13/2014"
"4.0" "This is a nice aquarium for the area. I am sure there are better in the United States but this is a nice one. I went on the weekday so it wasn't at all crowded.   They have many nice colorful fish and sharks and even Dolphins. I felt bad for the Dolphins because they are much to smart to be living in a small enclosure. Watch The Cove and you will understand my feelings. But They were still nice to look at.   It took us two hours to walk the entire thing and we saw everything. Everything was open to us and it is 35.00 per adult. Not the cheapest but it was worth it.  The only negative was the rainforest. Too hot and muggy and it smelled bad. Plus nothing really to see there. Some parrots , and tarantulas in wooden glass encased logs. Which really you wouldn't even notice unless you are an observant person. I am.   Go check it out! There are plenty of places to eat right around it. Chain restaurants and you have Little Italy right across the street. Just make sure to check out Yelp reviews for where to eat in Little Italy. The good places are further within the neighborhood. Don't walk into the very first place you see." "3/27/2015"
"2.0" "I've finally made the time to come down to Baltimore to go to this aquarium and I was not disappointed. It's a great place for family trips but it could even be a nice place for a date. The highlight of the aquarium is definitely the Atlantic exhibit (forgot what the actual name is). Theres a dolphin exhibit where you can see the dolphins swim around in a big tank. Unfortunately, there wasn't a dolphin show on the day that we went. There's also a safari exhibit that makes you feel like you're in a huge greenhouse. It was very humid in there but saw a couple monkeys. Overall it's a wonderful experience. I would buy tickets in advanced so you don't have to wait. The tickets has a specific entry time so you won't be able to enter the aquarium until at or after the time on your ticket." "1/3/2015"
"5.0" "Just watch as you walk into this aquarium...every child, grandma, parent, and weird uncle has a camera or smart phone in their hand. What's worse is the realization that as you wander through the fascinating maze of beautiful exhibits and encapsulated nature - EVERYONE IS TAKING A f!/@;?#¥ picture with every device possible, in every angle, and in every crack and crevice of this God-forsaken place. It is the worst aquarium experiences that I've had in a very long time. The last time I was in an aquarium, I was at the Monterey Bay Aquarium back home. People were respectful, children were eager to learn, and everyone was there to be engaged with the wonders of nature. I guess it may be the climate here in the East Coast, but everywhere we went, someone was taking a selfie or blocking my view of the exhibits with their massive Samsung Galaxy. What a disappointment.What is actually more disappointing though, is that the aquarium management have modeled this place for profit generation, rather than a venue for education. They really need to put more \"no photos\" signs on the walls and exhibits, because I find it impossible that the organisms displayed here are not distracted / affected by the constant flashes of everyone's iPhones. I also noticed how overcrowded some of the exhibits were. This is insane!! No thanks, I'll stick to my west coast aquariums, where they care more about the animal's well-being rather than the money they make from technology-dependent tourists. I sound like a tree-hugger...oh well. It's ok to judge me. Because I've already judged you!" "8/8/2014"
"5.0" "This review is coming from someone who is not passionate about aquatic life and does not know much about the topic: THE NATIONAL AQUARIUM IS A FANTASTIC PLACE TO VISIT.Sunday afternoon, Inner Harbor, cold weather, relatively busy. Purchasing tickets was a piece of cake as there were no lines. We walked in relatively quickly just in time for the 4-D Seamonsters (a relatively short movie on prehistoric aquatic creatures in 4-D). The show is a must! It was very well done, for ages 4 and up I believe (there were quite a few smaller children that were horrified by the whole thing!) with interesting facts and images. After the show we started walking around the museum and just followed the path of the escalators. The space is designed brilliantly with sections all inter-connected and relevant to each other. Beautiful fish and aquatic creatures of all shapes and sizes. The whole thing is mesmerizing. One can spend hours looking at the coral reef and all the beautiful fish swimming so peacefully in it. Going to the higher floors, visitors can still glance down and see the reef from above. It gets even better when one makes one's way all the way down to see the reef from below. The jelly fish invasion was another small exhibition that was very beautiful and worth the visit. I had always heard great things about the National Aquarium and I am so happy I finally got a chance to visit it. For us Washingtonians that are used to paying $0 for some of the most amazing museums or the National Zoo, paying $35 can seem a bit steep but I think it was well worth it (note that the 4-D movie is an additional $5/adult)." "3/30/2015"
"3.0" "I've been to the Baltimore aquarium several times and I'm always blown away.  There are so many things to do and see at this aquarium; my favorite exhibit is the jellyfish tanks. They are just so mysteriously beautiful, I cant stop watching them float around!Tickets are $25 to get in, which is pretty pricey, but so worth it! An aquarium visit is wayyy more memorable than going out to dinner or something. Your family with appreciate and cherish it way more. I think they offer discounted pricing after 5pm on Fridays.The staff is truly amazing. They're so knowledgeable and genuinely energetic. They want you to have a great experience and learn as much as you can during your visit." "2/23/2015"
"5.0" "Even though it seemed pretty pricey to me, this is the best aquarium I've ever been to. If I went back, I'd try to go on a weekend. Super crowded and tons of wild kids running around. The shark tanks are so awesome and the dolphin discovery reminded me of Sea World!" "7/19/2015"
