"rating.2.41." "review" "yy_2"
"1" "4.0" "I've been to this aquarium several times and have memories of watching the dolphin show as a 7 year-old girl with my family.  I visited this aquarium more recently in mid-January after a birthday lunch with a friend.  My friend and I decided to leave the group to visit this place - we saw some pretty awesome things - we watched the dolphin show (incredible!), visited the multi-layered shark exhibit, saw sea anemones (so cute you just want to poke them!), and of course we saw the jellies!!  There are so many things to do and see at this aquarium.  It's hands down the best aquarium I've ever been to.  I'll continue to visit in the future.Note - it's a little pricey to get in ($25), so make sure to go on a good day when you have plenty of time to make the most of your visit!" "4/3/2013"
"2" "4.0" "Have loved the Aquarium since I was a little kid but I don't think it was 70 dollars for two adults back then! A few things for people to know:1. There is no more dolphin show. I am sure this is great for the dolphins but I did really enjoy that back when. 2. Most exhibits don't open until 10:30 even though the place opens at 9. 3. There is parking validated but make sure you park in the right lot! A bunch of lots nearby have no affiliation!" "4/27/2014"
"3" "5.0" "Ugly a** fishes were the highlight of my aquarium trip! That deep sea ugly you would see on late night Discovery. *Double Take!" "6/20/2013"
"4" "2.0" "I cannot believe it took me so long living in Baltimore before I visited the aquarium! I kept waiting for a good opportunity with an out of town guest but then I finally decided to seize the day and just go! I'm not ashamed to say as a grownup person with no kids in tow that I loved the aquarium. It brought out the eight year old amateur zoologist in me. The highlights were the dolphin show and the shark tank, as well a glimpse of a sloth's butt high, high in the trees in the rainforest exhibit. The building itself is maze-like, but the view of the harbor is unreal, even on a gray rainy day." "1/17/2013"
"5" "3.0" "I absolute love aquatics, and the aquarium is a unique place to go. I've been here a couple of times growing up, and recently I decided to go again just to see the what the aquarium had since I had not been there in a few years. Entering into the aquarium it was just as I remembered it and there weren't that many things to see, mazing through the aquarium. I was hoping to see more fish and other types of sharks and fish or a better scenery. There was not, The aquarium is overall really small and did not have much to see. It took my and my group of friends 20 minutes to walk through the whole place, occasionally stoping to admire the fish for a few minutes or so. There is the new shark place that had different kids of sharks as you walked down the tramps leading down. Fish are beautiful creatures but overall, how the layout of the aquarium is built - it did not create ay fascination of the aquarium. A lot of the audience were little kids/parents who brought their kids and of course the kids were amused with it. I too am usually easily amused, but not in this case. It was overall a disappointment. The prices of the admission are really high as well, I would not pay for the admission price to go here again. The reason I am giving 2 stars for this review is because the fish are beautiful and exotic, I just hope that the National Aquarium is constructed better to build ore of a fascination and structure for the people to enjoy more." "8/19/2014"
"6" "5.0" "I have this 3 instead of 4 stars bc of the price, $35 pp.  nice exhibits, but it doesn't compare to sea world.  Definitely something you may want to do, however there are so many things to do in and around Baltimore, this would not be high on my list." "7/21/2014"
"7" "4.0" "This is such a neat aquarium.  It has a great location over the water and great views from inside.  The inside architecture is neat in that you go up several stories and can see all the way down from each level into a huge pool with rays and sea turtles.  They also have a huge amount of sharks, which is really awesome.  Definitely check this one out if you're in town." "4/27/2014"
"8" "4.0" "I've been here twice and it's great.  The variety of sea life is amazing and dolphin demos are awesome.  One of the things I really like and can be overlooked are the amount of enormous windows for viewing the surrounding harbor.  You can take so many amazing pics without obstructions that you can't get on the floor level.  The world trade center charges to go up to the viewing deck, but I'm sure you get just as good a view while taking a break from the sea life.The items in the main gift shop are all so unique.  The gift shops around the location are okay, but not as vast.I really wish the aquarium would list exhibits that are closed on their website.  I checked to see if such a thing was going on and didn't see anything.  When we go there the entire stingray exhibit was closed.  That's one of the biggest attractions there and the only way you find out its closed is when you're greeted by a huge black curtain blocking the exhibit entrances and signs stating \"construction.\"" "6/23/2013"
"9" "3.0" "This review is for the Shark Sleepover, which turned out to be pretty amazing. This Immersion Tour (they also have a Dolphin Sleepover) offers a way to get check out the entire aquarium with just a small group, rather than having to fight the crowds to see the animals/take photos during normal business hours.It's a little pricey ($115 per person for kids and adults), but includes a guided tour by a staff scientist through the entire aquarium to include some behind the scenes areas, dinner that night in the cafe, breakfast the following morning, a 4D movie, and a fun night of camping out on the floor by the shark tanks for the kiddos. Sleeping accommodations are definitely no-frills, and I was kinda sad they turned the tank lights out at night, but it was definitely a really memorable experience. Re-entry the following day is included as well if the family wants to have time to peruse at their leisure a second time around. We hung out til about 11am and then migrated out in order to use the reduced parking coupon ($8 if you're out of the garage by noon). Definitely recommend!" "4/13/2014"
"10" "2.0" "We enjoy going but it's ALWAYS too busy.  But if you go early you can beat some of the crowds and actually get to see the animals.  The kids are a bit short still (3 and 1 year olds), so that makes it tough. No strollers allowed inside but they do have a check in room for them.  It's pricy.  And I recommend leaving for meals as the lunch room is over priced and loud.  You can actually get out and come back in from the lunch room area to avoid spending money here - NOT WORTH IT.  But we loved the animals, the jellys were awesome to watch.  And the dolphin show was pretty neat.  They were cleaning the tank for the rays last time I was there so they were not in the really neat tank in the entrance.  The stores have lots of fun things to buy too." "6/10/2013"
"11" "4.0" "Way overpriced. Confusing layout. Not a lot to see and very overcrowded. There was supposed to be a talk about the \"Blue Wonders\" at 2:30, which never happened. The dolphin \"show\" was at 3:00 when it was listed to start at 3:15. It only last 10 minutes. Most of the \"shows\" here are just feedings where you watch the animals get fed. The rainforest was a bust, didn't see anything. Don't waste the money and go see some free museums in DC." "3/29/2015"
"12" "2.0" "I have visited this aquarium more than a few times since moving to Baltimore.  Highly enjoy it each & every time we visit.If at all possible, avoid visiting on a weekend.  Way too crowded (seriously, waaaaaaaaay too crowded).  The dolphin show used to be an extra cost but it is now free with your admission (though the admission is now set at a slightly higher price, I'm assuming, to accommodate the show).  The show is a great one, though.  And a nice break if you're visiting with kids.  Our absolute favorite exhibit has to be the Australian exhibit.  Make sure to take a moment & chat with the aquarium staff strategically placed throughout the exhibits.  They are highly informative & will point out creatures you most likely have missed... like the huge (HUUUUGE) bats hanging upside down freely inside the Australian exhibit ;)NO STROLLERS allowed.  You can bring one in but you will have to park it.  I believe they offer a backpack-like carrier for your baby if you want one.  We just bring our hiking backpack for our baby & it works out perfectly.  Again, if you want to enjoy the aquarium to it's full potential, try to visit it during the week.The parking near by is pricey, too ($20).  So, plan ahead since this visit will probably run you a small fortune." "2/27/2013"
